,R,n_sites,from_sec,to_sec,type,transport_per_sec_per_particle,transport_per_sec_per_particle_sem,total_sim_time_sec
6091,49,16,1e-05,2.5e-05,kap,0.0,0.0,0.3060000983018153
11899,57,16,1e-05,2.5e-05,kap,0.0,0.0,0.185250059511148
2511,66,16,1e-05,2.5e-05,kap,8.488241055532981,8.488241055532981,0.11781003784619892
1269,75,16,1e-05,2.5e-05,kap,27.05626836451138,19.131670834149052,0.07392002374663463
5731,49,24,1e-05,2.5e-05,kap,0.0,0.0,0.3060000983018153
7434,15,0,1e-05,3.0000000000000004e-05,inert,74.57989615049712,2.324952513140127,13.797283894356045
2840,17,0,1e-05,3.0000000000000004e-05,inert,32.40002325495266,1.909189679514903,8.888882508933907
11522,20,0,1e-05,3.0000000000000004e-05,inert,6.63082250117475,1.0901005041947054,5.580001574984835
13864,24,0,1e-05,3.0000000000000004e-05,inert,1.1755851097347092,0.5877925548673546,3.402560960390752
2566,17,1,1e-05,3.0000000000000004e-05,inert,26.31039388415204,1.6411972785611455,9.768002757070224
8426,20,1,1e-05,3.0000000000000004e-05,inert,7.333331263461372,1.1055412847401946,6.000001693532079
13352,24,1,1e-05,3.0000000000000004e-05,inert,0.5789313605728721,0.40936629090263205,3.4546409750906104
2804,29,1,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9680005554785216
11592,35,1,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.1200003161259882
15134,42,1,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6480001829014645
1630,17,2,1e-05,3.0000000000000004e-05,inert,30.30302174984048,1.7613273626107748,9.768002757070224
11588,20,2,1e-05,3.0000000000000004e-05,inert,4.999998588723664,0.9128706715126491,6.000001693532079
13094,24,2,1e-05,3.0000000000000004e-05,inert,0.5877925548673546,0.4156321014776722,3.402560960390752
1710,29,2,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9680005554785216
7820,35,2,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.1200003161259882
12928,42,2,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6447601819869573
1022,17,4,1e-05,3.0000000000000004e-05,inert,29.27927101504857,1.7313195896722045,9.768002757070224
3626,20,4,1e-05,3.0000000000000004e-05,inert,5.999998306468396,0.999999717744733,6.000001693532079
12238,24,4,1e-05,3.0000000000000004e-05,inert,0.0,0.0,3.472000979990563
5370,29,4,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9680005554785216
14500,35,4,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.1200003161259882
8786,42,4,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6480001829014645
11032,49,4,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.40800011516018136
11556,17,6,1e-05,3.0000000000000004e-05,inert,34.67376860551488,1.8888005310302447,9.719162743284873
15362,20,6,1e-05,3.0000000000000004e-05,inert,7.333331263461372,1.1055412847401944,6.000001693532079
14230,24,6,1e-05,3.0000000000000004e-05,inert,1.462022090786821,0.6538361559211402,3.419920965290705
4608,29,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9680005554785216
5284,35,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.0864003066422083
504,42,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6447601819869573
14870,49,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.40800011516018136
11010,57,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.2535000715517304
9932,66,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.1570800443366699
1824,75,6,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.10304002908359093
4294,17,8,1e-05,3.0000000000000004e-05,inert,26.64838596091501,1.6558501348843395,9.719162743284873
11326,20,8,1e-05,3.0000000000000004e-05,inert,4.166665490603053,0.8333330981206108,6.000001693532079
2494,24,8,1e-05,3.0000000000000004e-05,inert,0.8683970408593078,0.5013692653035958,3.4546409750906104
13490,29,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9581605527011292
14580,35,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.1200003161259882
2680,42,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6382801801579426
6296,49,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.40800011516018136
6602,57,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.23920006751547895
7388,66,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.15792004457376438
5320,75,8,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.10808003050615787
15498,24,12,1e-05,3.0000000000000004e-05,inert,0.28946568028643604,0.28946568028643604,3.4546409750906104
6926,29,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9581605527011292
1760,35,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.1200003161259882
15056,42,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6447601819869573
6110,49,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.40800011516018136
14076,57,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.23920006751547895
15070,66,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.1570800443366699
12574,75,12,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.10080002845133898
642,24,16,1e-05,3.0000000000000004e-05,inert,0.8727828845000114,0.5039014333101797,3.437280970190657
10774,29,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.9680005554785216
15590,35,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,1.1200003161259882
11946,42,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.6480001829014645
4104,49,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.40800011516018136
8148,57,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.24700006971707064
9248,66,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.1570800443366699
6718,75,16,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.09800002766102403
3788,49,24,1e-05,3.0000000000000004e-05,inert,0.0,0.0,0.40800011516018136
7435,15,0,1e-05,3.0000000000000004e-05,kap,128.72098694196586,3.0544138494279967,13.797283894356045
2841,17,0,1e-05,3.0000000000000004e-05,kap,47.70003423645812,2.3165184443914595,8.888882508933907
11523,20,0,1e-05,3.0000000000000004e-05,kap,13.440856421300184,1.5520164145953537,5.580001574984835
13865,24,0,1e-05,3.0000000000000004e-05,kap,1.4694813871683865,0.6571720546758398,3.402560960390752
2567,17,1,1e-05,3.0000000000000004e-05,kap,141.6871016951998,3.808572888510816,9.768002757070224
8427,20,1,1e-05,3.0000000000000004e-05,kap,55.33331771520866,3.0368103358921483,6.000001693532079
13353,24,1,1e-05,3.0000000000000004e-05,kap,4.631450884582974,1.1578627211457435,3.4546409750906104
2805,29,1,1e-05,3.0000000000000004e-05,kap,1.0162598757568428,0.7186042495954618,1.9680005554785216
11593,35,1,1e-05,3.0000000000000004e-05,kap,0.0,0.0,1.1200003161259882
15135,42,1,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.6480001829014645
1631,17,2,1e-05,3.0000000000000004e-05,kap,282.35045265560774,5.376397338134575,9.768002757070224
11589,20,2,1e-05,3.0000000000000004e-05,kap,73.33331263461378,3.496028507127768,6.000001693532079
13095,24,2,1e-05,3.0000000000000004e-05,kap,14.988710149117539,2.0988392307077794,3.402560960390752
1711,29,2,1e-05,3.0000000000000004e-05,kap,0.0,0.0,1.9680005554785216
7821,35,2,1e-05,3.0000000000000004e-05,kap,0.0,0.0,1.1200003161259882
12929,42,2,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.6447601819869573
1023,17,4,1e-05,3.0000000000000004e-05,kap,1296.9898059078646,11.522995560251625,9.768002757070224
3627,20,4,1e-05,3.0000000000000004e-05,kap,631.9998216146715,10.263199982050702,6.000001693532079
12239,24,4,1e-05,3.0000000000000004e-05,kap,161.00225870371725,6.80966997743706,3.472000979990563
5371,29,4,1e-05,3.0000000000000004e-05,kap,40.65039503027371,4.5448523299955825,1.9680005554785216
14501,35,4,1e-05,3.0000000000000004e-05,kap,3.571427563374047,1.7857137816870234,1.1200003161259882
8787,42,4,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.6480001829014645
11033,49,4,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.40800011516018136
11557,17,6,1e-05,3.0000000000000004e-05,kap,2793.553386968344,16.953683083904604,9.719162743284873
15363,20,6,1e-05,3.0000000000000004e-05,kap,1982.999440287806,18.179653831393352,6.000001693532079
14231,24,6,1e-05,3.0000000000000004e-05,kap,1216.987188370951,18.86405128069192,3.419920965290705
4609,29,6,1e-05,3.0000000000000004e-05,kap,915.6501480569144,21.57010090033255,1.9680005554785216
5285,35,6,1e-05,3.0000000000000004e-05,kap,444.58750337877854,20.229431859939453,1.0864003066422083
505,42,6,1e-05,3.0000000000000004e-05,kap,499.41049245270307,27.83105865754188,0.6447601819869573
14871,49,6,1e-05,3.0000000000000004e-05,kap,416.6665490603048,31.95686551531093,0.40800011516018136
11011,57,6,1e-05,3.0000000000000004e-05,kap,216.96246341601682,29.255212598952962,0.2535000715517304
9933,66,6,1e-05,3.0000000000000004e-05,kap,420.1679486322404,51.71909925887017,0.1570800443366699
1825,75,6,1e-05,3.0000000000000004e-05,kap,436.7234792169352,65.10289245995223,0.10304002908359093
4295,17,8,1e-05,3.0000000000000004e-05,kap,1775.9760234415162,13.517741028354333,9.719162743284873
11327,20,8,1e-05,3.0000000000000004e-05,kap,1157.9996731484005,13.892440068234315,6.000001693532079
2495,24,8,1e-05,3.0000000000000004e-05,kap,548.5374641427959,12.600903547789375,3.4546409750906104
13491,29,8,1e-05,3.0000000000000004e-05,kap,270.6621779653904,11.75681372739636,1.9581605527011292
14581,35,8,1e-05,3.0000000000000004e-05,kap,77.67854950338541,8.328014661059774,1.1200003161259882
2681,42,8,1e-05,3.0000000000000004e-05,kap,68.93524406337072,10.3923790631716,0.6382801801579426
6297,49,8,1e-05,3.0000000000000004e-05,kap,61.27449250886843,12.254898501773686,0.40800011516018136
6603,57,8,1e-05,3.0000000000000004e-05,kap,62.7090124003804,16.191397378919174,0.23920006751547895
7389,66,8,1e-05,3.0000000000000004e-05,kap,44.326228623436734,16.75373964214379,0.15792004457376438
5321,75,8,1e-05,3.0000000000000004e-05,kap,18.5048060278448,13.084873826830759,0.10808003050615787
15499,24,12,1e-05,3.0000000000000004e-05,kap,185.25803538331908,7.322966833241912,3.4546409750906104
6927,29,12,1e-05,3.0000000000000004e-05,kap,56.685852366336476,5.380383001955396,1.9581605527011292
1761,35,12,1e-05,3.0000000000000004e-05,kap,34.82141874289696,5.575889496173948,1.1200003161259882
15057,42,12,1e-05,3.0000000000000004e-05,kap,41.876035081437735,8.059046708954098,0.6447601819869573
6111,49,12,1e-05,3.0000000000000004e-05,kap,63.725472209223156,12.497593319528606,0.40800011516018136
14077,57,12,1e-05,3.0000000000000004e-05,kap,29.26420578684419,11.06083011825814,0.23920006751547895
15071,66,12,1e-05,3.0000000000000004e-05,kap,63.66181039882435,20.131632083007727,0.1570800443366699
12575,75,12,1e-05,3.0000000000000004e-05,kap,19.841264240966915,14.029892492101865,0.10080002845133898
643,24,16,1e-05,3.0000000000000004e-05,kap,0.0,0.0,3.437280970190657
10775,29,16,1e-05,3.0000000000000004e-05,kap,0.0,0.0,1.9680005554785216
15591,35,16,1e-05,3.0000000000000004e-05,kap,0.0,0.0,1.1200003161259882
11947,42,16,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.6480001829014645
4105,49,16,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.40800011516018136
8149,57,16,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.24700006971707064
9249,66,16,1e-05,3.0000000000000004e-05,kap,38.19708623929461,15.593895157892769,0.1570800443366699
6719,75,16,1e-05,3.0000000000000004e-05,kap,91.83670877247542,30.6122362574918,0.09800002766102403
3789,49,24,1e-05,3.0000000000000004e-05,kap,0.0,0.0,0.40800011516018136
7584,15,0,1e-05,3.5000000000000004e-05,inert,77.1582889066662,2.126129437134696,17.068807754317838
1936,17,0,1e-05,3.5000000000000004e-05,inert,31.9455422946466,1.7002896541264154,11.050055020013117
6816,20,0,1e-05,3.5000000000000004e-05,inert,7.455193745738567,1.033849358414571,6.975003168726972
1250,24,0,1e-05,3.5000000000000004e-05,inert,0.9452908384283896,0.4726454192141948,4.231501922361029
11454,17,1,1e-05,3.5000000000000004e-05,inert,26.289914346476788,1.4673599285633825,12.210005546975815
12966,20,1,1e-05,3.5000000000000004e-05,inert,8.266662911140113,1.0498672395825586,7.500003407233303
1598,24,1,1e-05,3.5000000000000004e-05,inert,0.9262900175554571,0.4631450087777286,4.318301961794076
12392,29,1,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.460001117572524
1422,35,1,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.4000006360168833
14584,42,1,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.8100003679811967
12958,17,2,1e-05,3.5000000000000004e-05,inert,30.22111649174436,1.5732484836631675,12.210005546975815
7318,20,2,1e-05,3.5000000000000004e-05,inert,5.466664183173297,0.8537495104678777,7.500003407233303
11844,24,2,1e-05,3.5000000000000004e-05,inert,0.7053509444905713,0.4072345576747881,4.253201932219291
6128,29,2,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.460001117572524
6472,35,2,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.4000006360168833
13268,42,2,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.8059503661412908
5400,17,4,1e-05,3.5000000000000004e-05,inert,30.466816625823576,1.5796308566594408,12.210005546975815
10114,20,4,1e-05,3.5000000000000004e-05,inert,6.6666636380162165,0.9428086132662092,7.500003407233303
13638,24,4,1e-05,3.5000000000000004e-05,inert,0.0,0.0,4.340001971652338
1280,29,4,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.460001117572524
8862,35,4,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.4000006360168833
12096,42,4,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.8100003679811967
10574,49,4,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.5100002316918646
1116,17,6,1e-05,3.5000000000000004e-05,inert,36.71097480714681,1.7383150385641046,12.148955519240936
11686,20,6,1e-05,3.5000000000000004e-05,inert,7.733329820098812,1.015435952804895,7.500003407233303
4288,24,6,1e-05,3.5000000000000004e-05,inert,1.169617471405685,0.5230688347469057,4.274901942077554
1168,29,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.460001117572524
14930,35,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.3580006169363767
3006,42,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.8059503661412908
10936,49,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.5100002316918646
14692,57,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.3152501432173732
7170,66,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.19635008920136787
3268,75,6,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.12810005819554482
11232,17,8,1e-05,3.5000000000000004e-05,inert,26.453714435862928,1.4719240451174744,12.210005546975815
1204,20,8,1e-05,3.5000000000000004e-05,inert,4.399998001090703,0.7659413382396256,7.500003407233303
5880,24,8,1e-05,3.5000000000000004e-05,inert,0.6947175131665928,0.40109534323747975,4.318301961794076
14188,29,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.447701111984661
330,35,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.4000006360168833
5884,42,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.7978503624614788
3384,49,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.5100002316918646
2458,57,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.2990001358350343
11528,66,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.1953000887243552
148,75,8,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.13510006137562924
2716,24,12,1e-05,3.5000000000000004e-05,inert,0.2315725043888643,0.2315725043888643,4.318301961794076
9232,29,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.447701111984661
3744,35,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.4000006360168833
15140,42,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.8059503661412908
5202,49,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.5100002316918646
1656,57,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.2990001358350343
15314,66,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.19635008920136787
5636,75,12,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.1260000572415195
3280,24,16,1e-05,3.5000000000000004e-05,inert,0.9309682499673534,0.4654841249836767,4.296601951935815
12234,29,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,2.460001117572524
11088,35,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,1.4000006360168833
3576,42,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.8100003679811967
470,49,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.5100002316918646
3002,57,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.3071251395262037
10194,66,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.19635008920136787
1792,75,16,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.12250005565147727
962,49,24,1e-05,3.5000000000000004e-05,inert,0.0,0.0,0.5100002316918646
7585,15,0,1e-05,3.5000000000000004e-05,kap,128.53856177769592,2.7441959853741085,17.068807754317838
1937,17,0,1e-05,3.5000000000000004e-05,kap,50.22599425928856,2.131974721945915,11.050055020013117
6817,20,0,1e-05,3.5000000000000004e-05,kap,12.75985083405256,1.3525414833293092,6.975003168726972
1251,24,0,1e-05,3.5000000000000004e-05,kap,1.4179362576425842,0.5788700531693126,4.231501922361029
11455,17,1,1e-05,3.5000000000000004e-05,kap,142.75177790002797,3.4192655629576434,12.210005546975815
12967,20,1,1e-05,3.5000000000000004e-05,kap,56.933307468658505,2.755195857623566,7.500003407233303
1599,24,1,1e-05,3.5000000000000004e-05,kap,4.863022592166148,1.0611985302324638,4.318301961794076
12393,29,1,1e-05,3.5000000000000004e-05,kap,1.2195116411005276,0.7040853742692719,2.460001117572524
1423,35,1,1e-05,3.5000000000000004e-05,kap,0.0,0.0,1.4000006360168833
14585,42,1,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.8100003679811967
12959,17,2,1e-05,3.5000000000000004e-05,kap,291.4003590179572,4.885253568357377,12.210005546975815
7319,20,2,1e-05,3.5000000000000004e-05,kap,77.33329820098815,3.2110904288867133,7.500003407233303
11845,24,2,1e-05,3.5000000000000004e-05,kap,14.57725285280514,1.8513129636201424,4.253201932219291
6129,29,2,1e-05,3.5000000000000004e-05,kap,0.0,0.0,2.460001117572524
6473,35,2,1e-05,3.5000000000000004e-05,kap,0.0,0.0,1.4000006360168833
13269,42,2,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.8059503661412908
5401,17,4,1e-05,3.5000000000000004e-05,kap,1371.4162483855232,10.598068316234905,12.210005546975815
10115,20,4,1e-05,3.5000000000000004e-05,kap,662.2663658005308,9.396921942384694,7.500003407233303
13639,24,4,1e-05,3.5000000000000004e-05,kap,173.96305460952462,6.331163789219882,4.340001971652338
1281,29,4,1e-05,3.5000000000000004e-05,kap,45.52843460108641,4.302032697733671,2.460001117572524
8863,35,4,1e-05,3.5000000000000004e-05,kap,5.714283118299615,2.0203041712847343,1.4000006360168833
12097,42,4,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.8100003679811967
10575,49,4,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.5100002316918646
1117,17,6,1e-05,3.5000000000000004e-05,kap,3012.028477842869,15.74563086729739,12.148955519240936
11687,20,6,1e-05,3.5000000000000004e-05,kap,2205.865664546807,17.14978974575646,7.500003407233303
4289,24,6,1e-05,3.5000000000000004e-05,kap,1385.9967036157354,18.00603209960291,4.274901942077554
1169,29,6,1e-05,3.5000000000000004e-05,kap,1047.5604997053529,20.635828261769735,2.460001117572524
14931,35,6,1e-05,3.5000000000000004e-05,kap,547.8642577338793,20.085678204997162,1.3580006169363767
3007,42,6,1e-05,3.5000000000000004e-05,kap,599.2924878395384,27.26875239359729,0.8059503661412908
10937,49,6,1e-05,3.5000000000000004e-05,kap,568.6271926543236,33.390938489250175,0.5100002316918646
14693,57,6,1e-05,3.5000000000000004e-05,kap,310.8642521136822,31.402031528295613,0.3152501432173732
7171,66,6,1e-05,3.5000000000000004e-05,kap,550.0379472160049,52.927426148278315,0.19635008920136787
3269,75,6,1e-05,3.5000000000000004e-05,kap,499.60945296608674,62.45118162076084,0.12810005819554482
11233,17,8,1e-05,3.5000000000000004e-05,kap,1973.7910771030827,12.714306014467835,12.210005546975815
1205,20,8,1e-05,3.5000000000000004e-05,kap,1320.1327335999713,13.267163142470116,7.500003407233303
5881,24,8,1e-05,3.5000000000000004e-05,kap,679.6653003813166,12.545588697048506,4.318301961794076
14189,29,8,1e-05,3.5000000000000004e-05,kap,359.52101982193136,12.119451105829528,2.447701111984661
331,35,8,1e-05,3.5000000000000004e-05,kap,111.42852080684229,8.921421659015705,1.4000006360168833
5885,42,8,1e-05,3.5000000000000004e-05,kap,121.57668224996686,12.344241809217234,0.7978503624614788
3385,49,8,1e-05,3.5000000000000004e-05,kap,84.31368718667575,12.857716755438494,0.5100002316918646
2459,57,8,1e-05,3.5000000000000004e-05,kap,83.61200214903283,16.72240042980657,0.2990001358350343
11529,66,8,1e-05,3.5000000000000004e-05,kap,66.56422987266578,18.461595685974483,0.1953000887243552
149,75,8,1e-05,3.5000000000000004e-05,kap,22.205763413081407,12.820503484103694,0.13510006137562924
2717,24,12,1e-05,3.5000000000000004e-05,kap,234.5829469459195,7.370411149399108,4.318301961794076
9233,29,12,1e-05,3.5000000000000004e-05,kap,96.41700077042698,6.276212165169572,2.447701111984661
3745,35,12,1e-05,3.5000000000000004e-05,kap,64.28568508087058,6.776306193328563,1.4000006360168833
15141,42,12,1e-05,3.5000000000000004e-05,kap,62.03855981775752,8.773577268436718,0.8059503661412908
5203,49,12,1e-05,3.5000000000000004e-05,kap,99.9999545702433,14.002794478841743,0.5100002316918646
1657,57,12,1e-05,3.5000000000000004e-05,kap,50.1672012894197,12.953115674650517,0.2990001358350343
15315,66,12,1e-05,3.5000000000000004e-05,kap,96.76593515837143,22.199628028028968,0.19635008920136787
5637,75,12,1e-05,3.5000000000000004e-05,kap,15.873008661943375,11.223912062692966,0.1260000572415195
3281,24,16,1e-05,3.5000000000000004e-05,kap,0.0,0.0,4.296601951935815
12235,29,16,1e-05,3.5000000000000004e-05,kap,0.0,0.0,2.460001117572524
11089,35,16,1e-05,3.5000000000000004e-05,kap,0.0,0.0,1.4000006360168833
3577,42,16,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.8100003679811967
471,49,16,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.5100002316918646
3003,57,16,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.3071251395262037
10195,66,16,1e-05,3.5000000000000004e-05,kap,96.7659351583714,22.199628028028968,0.19635008920136787
1793,75,16,1e-05,3.5000000000000004e-05,kap,155.1019703538467,35.58283235349786,0.12250005565147727
963,49,24,1e-05,3.5000000000000004e-05,kap,0.0,0.0,0.5100002316918646
5836,15,0,1e-05,4e-05,inert,78.78936976884825,1.9715834709569657,20.269231809890968
754,17,0,1e-05,4e-05,inert,31.296943506449733,1.5363065338316255,13.260080809951205
11948,20,0,1e-05,4e-05,inert,6.929499280362657,0.9098878320084351,8.37001313563374
6016,24,0,1e-05,4e-05,inert,0.7877414869680932,0.3938707434840466,5.077807968951134
7058,17,1,1e-05,4e-05,inert,28.32373387333703,1.3903574131176222,14.652022994421207
10034,20,1,1e-05,4e-05,inert,8.111098381790024,0.9493322596253824,9.000014124337351
10164,24,1,1e-05,4e-05,inert,0.9648843590375517,0.4315094034468557,5.181968132416798
1762,29,1,1e-05,4e-05,inert,0.0,0.0,2.9520046327826512
8726,35,1,1e-05,4e-05,inert,0.0,0.0,1.680002636542972
5688,42,1,1e-05,4e-05,inert,0.0,0.0,0.972001525428434
8814,17,2,1e-05,4e-05,inert,31.326732163522177,1.4622066382086576,14.652022994421207
10084,20,2,1e-05,4e-05,inert,5.444435900105628,0.7777765571579469,9.000014124337351
11832,24,2,1e-05,4e-05,inert,0.7837223977488683,0.39186119887443416,5.103848009817551
2836,29,2,1e-05,4e-05,inert,0.0,0.0,2.9520046327826512
10788,35,2,1e-05,4e-05,inert,0.0,0.0,1.680002636542972
11190,42,2,1e-05,4e-05,inert,0.0,0.0,0.9671415178012918
5994,17,4,1e-05,4e-05,inert,31.80448189150617,1.4733141732812085,14.652022994421207
4190,20,4,1e-05,4e-05,inert,7.666654634842625,0.9229567585294954,9.000014124337351
16,24,4,1e-05,4e-05,inert,0.3840239748969455,0.2715459567878427,5.208008173283214
4752,29,4,1e-05,4e-05,inert,0.0,0.0,2.9520046327826512
13220,35,4,1e-05,4e-05,inert,0.0,0.0,1.680002636542972
2926,42,4,1e-05,4e-05,inert,0.0,0.0,0.972001525428434
15366,49,4,1e-05,4e-05,inert,0.0,0.0,0.6120009604549399
540,17,6,1e-05,4e-05,inert,39.029374762799,1.6361965059036985,14.578762879449101
1940,20,6,1e-05,4e-05,inert,8.44443119200057,0.9686426895161364,9.000014124337351
10698,24,6,1e-05,4e-05,inert,0.9746801393323492,0.4358902095732197,5.129888050683967
7924,29,6,1e-05,4e-05,inert,0.0,0.0,2.9520046327826512
5496,35,6,1e-05,4e-05,inert,0.0,0.0,1.6296025574466837
15784,42,6,1e-05,4e-05,inert,0.0,0.0,0.9671415178012918
10596,49,6,1e-05,4e-05,inert,0.0,0.0,0.6120009604549399
14336,57,6,1e-05,4e-05,inert,0.0,0.0,0.3783005936929801
1896,66,6,1e-05,4e-05,inert,0.0,0.0,0.235620369775152
450,75,6,1e-05,4e-05,inert,0.0,0.0,0.15372024124368208
7134,17,8,1e-05,4e-05,inert,26.753984767103912,1.351280289470053,14.652022994421207
1498,20,8,1e-05,4e-05,inert,4.66665934294768,0.7200811697487219,9.000014124337351
11606,24,8,1e-05,4e-05,inert,0.7719074872300412,0.3859537436150206,5.181968132416798
6732,29,8,1e-05,4e-05,inert,0.0,0.0,2.9372446096187383
12736,35,8,1e-05,4e-05,inert,0.0,0.0,1.680002636542972
15030,42,8,1e-05,4e-05,inert,0.0,0.0,0.9574215025470076
11196,49,8,1e-05,4e-05,inert,0.0,0.0,0.6120009604549399
11294,57,8,1e-05,4e-05,inert,0.0,0.0,0.3588005630902493
9822,66,8,1e-05,4e-05,inert,0.0,0.0,0.2343603677977448
13132,75,8,1e-05,4e-05,inert,0.0,0.0,0.16212025442639688
11338,24,12,1e-05,4e-05,inert,0.1929768718075103,0.1929768718075103,5.181968132416798
9732,29,12,1e-05,4e-05,inert,0.0,0.0,2.9372446096187383
12730,35,12,1e-05,4e-05,inert,0.0,0.0,1.680002636542972
6932,42,12,1e-05,4e-05,inert,0.0,0.0,0.9671415178012918
1162,49,12,1e-05,4e-05,inert,0.0,0.0,0.6120009604549399
950,57,12,1e-05,4e-05,inert,0.0,0.0,0.3588005630902493
9264,66,12,1e-05,4e-05,inert,0.0,0.0,0.235620369775152
1356,75,12,1e-05,4e-05,inert,0.0,0.0,0.15120023728886764
136,24,16,1e-05,4e-05,inert,0.7758060098928192,0.3879030049464096,5.155928091550382
8494,29,16,1e-05,4e-05,inert,0.0,0.0,2.9520046327826512
