,R,n_sites,from_sec,to_sec,type,transport_per_sec_per_particle,transport_per_sec_per_particle_sem,total_sim_time_sec
13009,35,1,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
13881,42,1,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
6319,17,2,5e-06,1e-05,kap,208.02611068892372,9.229666172416664,2.442001142633724
11001,20,2,5e-06,1e-05,kap,47.99997754037961,5.656851602600732,1.5000007018634665
13889,24,2,5e-06,1e-05,kap,11.696174554857905,3.6986551504256986,0.8549804000528181
12679,29,2,5e-06,1e-05,kap,0.0,0.0,0.492000230211217
2477,35,2,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
13855,42,2,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
14087,17,4,5e-06,1e-05,kap,573.3003050482138,15.322095151595736,2.442001142633724
4919,20,4,5e-06,1e-05,kap,261.333211053178,13.199320406068376,1.5000007018634665
6429,24,4,5e-06,1e-05,kap,57.60365968267522,8.146387676556353,0.8680004061449926
9415,29,4,5e-06,1e-05,kap,10.162596870845947,4.544851486227637,0.492000230211217
14479,35,4,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
6919,42,4,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
1375,49,4,5e-06,1e-05,kap,0.0,0.0,0.10200004772671573
12077,17,6,5e-06,1e-05,kap,724.8153856680988,17.228234336758273,2.442001142633724
7713,20,6,5e-06,1e-05,kap,416.66647170468417,16.666658868187362,1.5000007018634665
6513,24,6,5e-06,1e-05,kap,235.0229315053144,16.454896513838552,0.8680004061449926
2383,29,6,5e-06,1e-05,kap,144.30887556601243,17.12631266363227,0.492000230211217
619,35,6,5e-06,1e-05,kap,46.42854970423621,12.876962815696313,0.28000013101451376
7627,42,6,5e-06,1e-05,kap,24.691346471388673,12.345673235694337,0.1620000758012544
13737,49,6,5e-06,1e-05,kap,9.80391698128668,9.80391698128668,0.10200004772671573
8449,57,6,5e-06,1e-05,kap,0.0,0.0,0.06467503026201313
4693,66,6,5e-06,1e-05,kap,0.0,0.0,0.04179001955391618
671,75,6,5e-06,1e-05,kap,0.0,0.0,0.02786001303594412
6301,17,8,5e-06,1e-05,kap,216.2161150467556,9.409598621796661,2.442001142633724
8469,20,8,5e-06,1e-05,kap,119.33327749622144,8.919387933378077,1.5000007018634665
3681,24,8,5e-06,1e-05,kap,27.64975664768407,5.64398294157943,0.8680004061449926
13299,29,8,5e-06,1e-05,kap,2.03251937416919,2.0325193741691896,0.492000230211217
4733,35,8,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
3093,42,8,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
10841,49,8,5e-06,1e-05,kap,0.0,0.0,0.10200004772671573
11927,57,8,5e-06,1e-05,kap,0.0,0.0,0.06500003041408355
4115,66,8,5e-06,1e-05,kap,0.0,0.0,0.04116001925913353
4175,75,8,5e-06,1e-05,kap,0.0,0.0,0.02800001310145137
4583,24,12,5e-06,1e-05,kap,3.456219580960511,1.9954493054460067,0.8680004061449926
4001,29,12,5e-06,1e-05,kap,0.0,0.0,0.492000230211217
83,35,12,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
8637,42,12,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
3721,49,12,5e-06,1e-05,kap,0.0,0.0,0.10200004772671573
7109,57,12,5e-06,1e-05,kap,0.0,0.0,0.06500003041408355
5859,66,12,5e-06,1e-05,kap,0.0,0.0,0.04200001965217706
10175,75,12,5e-06,1e-05,kap,0.0,0.0,0.02772001297043686
11459,24,16,5e-06,1e-05,kap,0.0,0.0,0.8680004061449926
5801,29,16,5e-06,1e-05,kap,0.0,0.0,0.492000230211217
5177,35,16,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
